127.0.0.1 - - [04/Sep/2023:20:45:32 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [04/Sep/2023:20:45:35 +0530] "GET /project_3/jsp/UserRegistrationView.jsp HTTP/1.1" 200 12160
0:0:0:0:0:0:0:1 - - [04/Sep/2023:20:45:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [04/Sep/2023:20:45:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [04/Sep/2023:20:45:35 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [04/Sep/2023:21:00:55 +0530] "GET /project_3/ HTTP/1.1" 200 697
0:0:0:0:0:0:0:1 - - [04/Sep/2023:21:00:58 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3793
0:0:0:0:0:0:0:1 - - [04/Sep/2023:21:00:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [04/Sep/2023:21:01:01 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7271
0:0:0:0:0:0:0:1 - - [04/Sep/2023:21:01:01 +0530] "GET /img/logo.png HTTP/1.1" 404 725
0:0:0:0:0:0:0:1 - - [04/Sep/2023:21:05:53 +0530] "GET /project_3/ForgetPasswordCtl HTTP/1.1" 200 5710
0:0:0:0:0:0:0:1 - - [04/Sep/2023:21:06:06 +0530] "POST /project_3/ForgetPasswordCtl HTTP/1.1" 500 5936
0:0:0:0:0:0:0:1 - - [04/Sep/2023:21:08:48 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Sep/2023:21:08:48 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9929
0:0:0:0:0:0:0:1 - - [04/Sep/2023:21:08:48 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [04/Sep/2023:21:09:02 +0530] "GET /project_3/ctl/UserCtl HTTP/1.1" 200 18178
0:0:0:0:0:0:0:1 - - [04/Sep/2023:21:09:02 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [04/Sep/2023:21:09:02 +0530] "GET /project_3/img/whit.jpg HTTP/1.1" 200 20156
0:0:0:0:0:0:0:1 - - [04/Sep/2023:21:09:18 +0530] "GET /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 17730
0:0:0:0:0:0:0:1 - - [04/Sep/2023:21:09:18 +0530] "GET /project_3/js/jquery.min.js HTTP/1.1" 200 95935
0:0:0:0:0:0:0:1 - - [04/Sep/2023:21:09:18 +0530] "GET /project_3/js/CheckBox11.js HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [04/Sep/2023:21:09:18 +0530] "GET /project_3/img/background-g1d93e894b_1920.jpg HTTP/1.1" 200 136107
0:0:0:0:0:0:0:1 - - [04/Sep/2023:21:09:34 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 19963
0:0:0:0:0:0:0:1 - - [04/Sep/2023:21:09:34 +0530] "GET /project_3/img/rain.jpg HTTP/1.1" 200 47882
0:0:0:0:0:0:0:1 - - [04/Sep/2023:21:09:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
